case,body,trailer,make,model,modelyr
245,20,0,6,441,2005
246,15,0,54,421,2004
246,67,0,20,880,2007
246,6,0,6,52,2005
246,34,0,20,481,2010
247,20,0,49,442,2004
248,2,0,37,31,2004
249,2,0,34,34,2007
249,4,0,12,16,2010
250,1,0,14,398,1991
250,34,0,12,471,2002
250,34,0,7,482,2006
251,4,0,63,34,2003
251,4,0,35,47,2009
251,34,0,20,481,2003
252,80,0,98,706,2006
252,3,0,69,54,2011
253,4,0,20,2,2004
253,14,0,12,401,2015
254,61,0,12,881,2004
255,4,0,49,32,2009
255,4,0,48,34,2015
256,4,0,34,34,2004
257,39,0,12,481,1986
258,3,0,55,36,2003
258,6,0,20,24,2011
259,80,0,73,706,2005
259,6,0,49,47,2007
260,34,0,7,482,1999
261,14,0,2,404,2000
262,80,0,53,706,2014
262,20,0,49,442,1998
263,34,0,7,482,2014
264,2,0,37,32,1994
265,14,0,12,401,1995
266,4,0,30,40,1994
267,80,0,73,705,2002
267,6,0,7,27,2014
268,80,0,76,705,2002
268,5,0,37,39,2007
269,4,0,20,37,2010
270,40,0,49,472,1997
270,66,1,87,884,1990
271,4,0,34,34,2006
272,14,0,32,401,2013
273,34,0,7,482,1998
274,14,0,63,402,2006
275,80,0,72,706,1993
275,34,0,7,482,2004
275,14,0,2,405,2007
275,4,0,13,1,2007
276,6,0,35,43,1984
277,20,0,6,441,2001
277,90,0,76,734,2016
278,40,0,49,472,1996
279,34,0,20,481,2003
280,80,0,73,705,2008
280,4,0,63,34,2009
281,80,0,53,705,2000
281,4,0,49,40,2016
282,34,0,23,472,2016
283,6,0,20,23,2006
284,80,0,72,706,2013
285,4,0,55,33,2010
286,14,0,20,401,1994
286,4,0,20,37,2006
287,14,0,12,401,2006
288,98,0,97,997,9998
291,4,0,35,47,1995
291,34,1,7,482,2005
292,15,0,19,421,2004
292,34,0,12,481,2004
292,6,0,22,32,2005
292,4,0,30,40,2011
293,34,0,23,481,1999
294,15,0,19,421,2002
295,4,0,20,25,2011
295,34,0,20,481,2016
296,14,0,2,404,2006
297,4,0,13,1,2004
298,80,0,72,706,1991
298,66,0,87,884,2001
299,34,0,12,481,2003
299,3,0,12,37,2007
300,4,0,37,32,1985
300,80,0,73,705,2004
301,20,0,37,441,2001
301,34,0,20,481,2016
302,6,0,48,34,2003
303,34,0,7,472,1998
304,80,0,72,706,2016
304,4,0,49,43,2013
305,5,0,37,39,2007
305,14,0,20,402,2003
306,14,0,49,403,2004
307,4,0,32,43,2010
307,66,1,85,881,2005
307,66,1,87,884,2012
308,34,0,12,473,2002
308,66,1,82,881,2006
309,2,0,20,16,2004
309,3,0,12,37,2000
310,20,0,7,442,1998
311,4,0,37,32,2004
311,66,1,85,881,2006
312,34,0,20,473,2015
313,4,0,49,40,2007
313,63,0,51,881,2011
313,34,0,20,481,1999
314,80,0,76,706,2009
315,80,0,72,706,2008
316,82,0,72,706,2011
317,4,0,63,34,2013
318,4,0,41,35,2003
319,80,0,76,705,2013
320,4,0,20,2,2004
