case,age,sex,hispanic,race1,race2,race3,race4,race5,zip,licstate,drhgt_in,weight,noncdl,noncdltype,x,y
86,31,1,0.0,,,,,,98105.0,53,70.0,200.0,6.0,1.0,47.659861,-122.284977
86,35,2,0.0,,,,,,98258.0,53,67.0,195.0,6.0,1.0,48.04417,-122.077404
87,66,1,7.0,,,,,,99026.0,53,68.0,132.0,6.0,1.0,47.811345,-117.62654
88,59,1,0.0,,,,,,98321.0,53,67.0,200.0,6.0,1.0,47.152606,-122.071738
88,92,1,7.0,,,,,,98541.0,53,68.0,170.0,6.0,1.0,47.060731,-123.389742
89,45,1,0.0,,,,,,98229.0,53,72.0,220.0,6.0,1.0,48.696127,-122.413538
90,43,2,0.0,,,,,,98626.0,53,62.0,180.0,6.0,1.0,46.172049,-122.773959
91,32,1,0.0,,,,,,98586.0,53,64.0,160.0,6.0,1.0,46.551443,-123.830811
91,18,2,4.0,,,,,,98577.0,53,64.0,180.0,6.0,1.0,46.641849,-123.610389
92,19,1,1.0,,,,,,98168.0,53,67.0,200.0,0.0,0.0,47.489569,-122.29996
92,43,1,0.0,,,,,,98118.0,53,63.0,210.0,6.0,1.0,47.540246,-122.268545
93,60,2,0.0,,,,,,98942.0,53,64.0,172.0,6.0,1.0,46.801335,-120.66481
94,56,1,7.0,,,,,,98360.0,53,72.0,240.0,6.0,1.0,47.051415,-122.153242
95,16,1,0.0,,,,,,99006.0,53,73.0,132.0,6.0,2.0,47.984122,-117.502192
95,43,2,7.0,,,,,,99148.0,53,69.0,150.0,6.0,1.0,48.10047,-117.597004
96,28,1,0.0,,,,,,98951.0,53,,999.0,1.0,1.0,46.456028,-120.513604
97,27,1,0.0,,,,,,98031.0,53,69.0,185.0,0.0,0.0,47.405479,-122.195772
97,44,2,0.0,,,,,,98466.0,53,66.0,160.0,6.0,1.0,47.224432,-122.541082
97,18,2,0.0,,,,,,98001.0,53,68.0,133.0,6.0,1.0,47.310617,-122.263291
98,73,1,0.0,,,,,,98292.0,53,70.0,230.0,6.0,1.0,48.216792,-122.31439
99,53,1,7.0,,,,,,98516.0,53,67.0,170.0,6.0,1.0,47.109685,-122.794261
100,68,1,0.0,,,,,,99350.0,53,70.0,185.0,6.0,1.0,46.183349,-119.696208
101,21,1,1.0,,,,,,98264.0,53,65.0,148.0,6.0,1.0,48.950253,-122.459792
102,27,1,0.0,,,,,,99206.0,53,69.0,150.0,6.0,1.0,47.629296,-117.254657
102,76,1,0.0,,,,,,83873.0,16,68.0,155.0,6.0,1.0,47.582915,-115.843529
103,22,1,7.0,,,,,,98042.0,53,73.0,180.0,6.0,1.0,47.367737,-122.117029
104,38,2,7.0,,,,,,98003.0,53,68.0,145.0,6.0,1.0,47.304801,-122.316969
105,25,2,0.0,,,,,,98229.0,53,61.0,135.0,6.0,1.0,48.696127,-122.413538
106,23,1,1.0,,,,,,98248.0,53,67.0,125.0,0.0,0.0,48.864419,-122.619419
107,24,1,7.0,,,,,,99223.0,53,71.0,160.0,6.0,1.0,47.589407,-117.344623
107,63,2,0.0,,,,,,99006.0,53,61.0,135.0,6.0,1.0,47.984122,-117.502192
109,48,1,7.0,,,,,,98382.0,53,74.0,220.0,1.0,1.0,48.023189,-123.106245
110,63,2,0.0,,,,,,98105.0,53,65.0,270.0,6.0,1.0,47.659861,-122.284977
111,31,1,0.0,,,,,,99352.0,53,70.0,150.0,6.0,1.0,46.25284,-119.287852
111,34,1,1.0,,,,,,99352.0,53,67.0,175.0,6.0,1.0,46.25284,-119.287852
111,52,1,0.0,,,,,,99354.0,53,71.0,220.0,6.0,1.0,46.331677,-119.299782
112,39,2,7.0,,,,,,98528.0,53,61.0,130.0,6.0,1.0,47.445724,-122.896929
113,66,2,0.0,,,,,,98445.0,53,67.0,190.0,6.0,1.0,47.139967,-122.409902
114,18,1,7.0,,,,,,98248.0,53,69.0,155.0,6.0,1.0,48.864419,-122.619419
115,86,1,7.0,,,,,,98223.0,53,65.0,180.0,6.0,1.0,48.21712,-121.95354
115,29,2,0.0,,,,,,98223.0,53,67.0,200.0,6.0,1.0,48.21712,-121.95354
115,50,1,0.0,,,,,,83401.0,16,71.0,185.0,6.0,1.0,43.542409,-111.877936
116,22,1,7.0,,,,,,98284.0,53,74.0,360.0,6.0,1.0,48.546832,-122.135222
116,42,1,0.0,,,,,,98250.0,53,70.0,150.0,6.0,1.0,48.571293,-123.113449
117,43,2,0.0,,,,,,98108.0,53,66.0,220.0,6.0,1.0,47.534862,-122.305794
118,22,2,7.0,,,,,,98465.0,53,61.0,131.0,1.0,1.0,47.251761,-122.536065
119,19,1,0.0,,,,,,98055.0,53,69.0,150.0,1.0,1.0,47.446982,-122.201521
120,34,1,7.0,,,,,,98860.0,53,70.0,220.0,6.0,1.0,47.461956,-119.200475
121,44,1,0.0,,,,,,98611.0,53,76.0,220.0,6.0,1.0,46.305133,-122.900688
121,57,1,7.0,,,,,,98532.0,53,74.0,220.0,6.0,1.0,46.62629,-123.052671
121,64,1,0.0,,,,,,85053.0,4,72.0,210.0,6.0,1.0,33.629922,-112.131609
122,64,1,7.0,,,,,,98531.0,53,73.0,210.0,6.0,1.0,46.730437,-122.902774
123,23,1,1.0,,,,,,99344.0,53,65.0,160.0,6.0,1.0,46.820069,-119.178054
124,32,1,0.0,,,,,,99208.0,53,74.0,185.0,6.0,1.0,47.788172,-117.480897
125,82,1,0.0,,,,,,98168.0,53,63.0,125.0,6.0,1.0,47.489569,-122.29996
125,46,2,0.0,,,,,,98188.0,53,63.0,140.0,6.0,1.0,47.446413,-122.272098
126,55,1,0.0,,,,,,98258.0,53,72.0,245.0,6.0,1.0,48.04417,-122.077404
127,35,1,7.0,,,,,,99403.0,53,75.0,230.0,6.0,1.0,46.362367,-117.282597
127,26,1,0.0,,,,,,97885.0,41,74.0,210.0,6.0,1.0,45.655669,-117.511704
128,69,1,0.0,,,,,,98642.0,53,67.0,170.0,6.0,1.0,45.807695,-122.693908
128,67,1,7.0,,,,,,97013.0,41,69.0,250.0,6.0,1.0,45.220824,-122.66828
129,50,1,7.0,,,,,,99337.0,53,72.0,200.0,6.0,1.0,46.073223,-119.09074
129,57,1,0.0,,,,,,98619.0,53,74.0,205.0,6.0,1.0,45.975881,-121.274747
129,23,2,0.0,,,,,,98620.0,53,61.0,190.0,6.0,1.0,45.874447,-120.77583
130,60,1,0.0,,,,,,98003.0,53,72.0,185.0,6.0,1.0,47.304801,-122.316969
131,37,2,7.0,,,,,,98311.0,53,65.0,205.0,6.0,1.0,47.631197,-122.631017
