case,crash_dt,crash_tm,numfatal,crashtype
198,06/12/2017,6:40,1,50
198,06/12/2017,6:40,1,51
199,06/13/2017,21:52,1,6
200,06/14/2017,17:53,1,50
200,06/14/2017,17:53,1,51
201,06/17/2017,2:20,1,1
202,06/17/2017,7:15,1,64
202,06/17/2017,7:15,1,65
202,06/17/2017,7:15,1,98
203,05/28/2017,16:10,1,6
204,06/17/2017,16:17,1,7
205,06/18/2017,4:00,1,50
205,06/18/2017,4:00,1,51
206,06/19/2017,17:32,1,98
206,06/19/2017,17:32,1,98
206,06/19/2017,17:32,1,98
206,06/19/2017,17:32,1,21
206,06/19/2017,17:32,1,20
207,06/20/2017,23:18,1,11
208,06/19/2017,15:03,1,2
209,06/16/2017,22:57,1,11
211,06/21/2017,21:56,1,68
211,06/21/2017,21:56,1,69
212,06/25/2017,19:00,1,1
213,06/21/2017,3:17,1,13
214,06/25/2017,7:22,1,77
214,06/25/2017,7:22,1,76
215,06/27/2017,14:32,1,1
216,06/11/2017,12:44,1,7
217,06/12/2017,16:35,1,7
218,06/30/2017,22:21,2,98
219,06/30/2017,17:01,1,13
220,06/30/2017,21:49,1,13
221,06/25/2017,18:28,1,7
222,06/30/2017,16:26,1,50
222,06/30/2017,16:26,1,51
223,06/30/2017,18:40,1,98
223,06/30/2017,18:40,1,98
224,06/29/2017,9:38,1,83
224,06/29/2017,9:38,1,82
224,06/29/2017,9:38,1,98
224,06/29/2017,9:38,1,98
224,06/29/2017,9:38,1,98
226,06/16/2017,14:49,1,1
227,06/11/2017,2:35,2,50
227,06/11/2017,2:35,2,51
228,06/26/2017,3:17,1,2
229,07/01/2017,14:00,1,1
230,07/03/2017,2:11,1,6
231,07/02/2017,16:53,1,13
232,07/02/2017,23:46,1,24
232,07/02/2017,23:46,1,27
233,07/01/2017,23:54,1,13
234,07/03/2017,16:39,1,28
234,07/03/2017,16:39,1,29
235,07/04/2017,0:02,1,1
236,07/04/2017,7:25,1,1
236,07/04/2017,7:25,1,98
237,07/04/2017,12:52,1,13
238,07/06/2017,11:21,2,50
238,07/06/2017,11:21,2,51
239,07/07/2017,18:32,1,98
240,07/11/2017,3:39,1,12
241,07/12/2017,22:30,1,6
242,07/06/2017,6:00,1,93
242,07/06/2017,6:00,1,92
244,07/10/2017,16:50,1,15
245,07/17/2017,4:00,1,98
246,07/04/2017,8:04,1,50
246,07/04/2017,8:04,1,51
246,07/04/2017,8:04,1,98
246,07/04/2017,8:04,1,98
247,07/03/2017,2:57,2,1
248,07/09/2017,1:38,1,13
249,07/07/2017,2:11,1,98
249,07/07/2017,2:11,1,13
250,07/05/2017,16:43,1,87
250,07/05/2017,16:43,1,86
250,07/05/2017,16:43,1,98
251,07/07/2017,15:55,1,64
251,07/07/2017,15:55,1,65
251,07/07/2017,15:55,1,98
252,07/14/2017,11:18,1,28
252,07/14/2017,11:18,1,29
253,07/15/2017,23:00,1,7
253,07/15/2017,23:00,1,98
254,07/17/2017,9:46,1,13
255,07/18/2017,5:55,1,50
255,07/18/2017,5:55,1,51
256,07/17/2017,3:36,1,2
257,07/16/2017,19:40,1,13
258,07/15/2017,23:10,1,50
258,07/15/2017,23:10,1,51
259,07/15/2017,13:27,1,98
259,07/15/2017,13:27,1,98
260,07/12/2017,15:00,1,2
261,07/14/2017,18:44,1,1
262,07/23/2017,13:12,1,98
262,07/23/2017,13:12,1,98
263,07/24/2017,8:30,2,1
264,07/23/2017,15:51,3,6
265,07/26/2017,16:22,1,7
266,07/27/2017,19:13,1,7
267,07/26/2017,17:35,1,83
267,07/26/2017,17:35,1,82
268,07/29/2017,12:30,1,83
268,07/29/2017,12:30,1,82
269,07/21/2017,20:28,1,6
270,07/28/2017,7:30,1,89
270,07/28/2017,7:30,1,88
271,07/28/2017,1:15,1,1
272,07/23/2017,20:25,2,1
273,07/29/2017,0:41,1,7
274,07/26/2017,4:05,3,11
275,07/25/2017,15:17,1,47
275,07/25/2017,15:17,1,45
275,07/25/2017,15:17,1,98
275,07/25/2017,15:17,1,98
276,07/27/2017,20:26,1,13
277,07/30/2017,19:25,1,20
277,07/30/2017,19:25,1,21
278,07/31/2017,15:38,1,98
279,07/15/2017,18:44,1,98
280,07/30/2017,19:59,1,88
280,07/30/2017,19:59,1,89
281,07/31/2017,17:17,1,98
281,07/31/2017,17:17,1,98
282,07/08/2017,14:20,1,13
283,07/06/2017,22:19,1,13
284,07/30/2017,12:00,1,98
285,07/16/2017,3:38,1,1
286,07/04/2017,19:25,1,68
286,07/04/2017,19:25,1,69
287,07/16/2017,0:54,1,13
288,07/06/2017,4:33,1,13
291,08/01/2017,16:22,1,66
291,08/01/2017,16:22,1,66
292,08/01/2017,9:28,1,64
